#; CPU time in ms; temp1 in C; temp2 in C; ax1 in m/s^2; ay1 in m/s^2; az1 in m/s^2; ax2 in m/s^2; ay2 in m/s^2; az2 in m/s^2; volt1; volt2; cur1; cur2; cur3; cur4; cur5; speed in m/s
1; 21958; 32.09; 25.69; -9.73; -0.22; 0.54; 9.93; 0.13; 0.24; 995.00; 1016.00; 498.00; 512.00; 511.00; 509.00; 511.00; 0.00
2; 22056; 32.08; 25.69; -9.67; -0.27; 0.52; 9.95; 0.03; 0.28; 993.00; 1016.00; 497.00; 510.00; 510.00; 511.00; 512.00; 0.00
3; 22156; 32.08; 25.69; -9.72; -0.29; 0.55; 9.92; 0.08; 0.30; 993.00; 1016.00; 497.00; 512.00; 509.00; 511.00; 513.00; 0.00
4; 22256; 32.08; 25.69; -9.62; -0.26; 0.48; 9.91; 0.09; 0.34; 990.00; 1016.00; 498.00; 511.00; 510.00; 505.00; 510.00; 0.00
5; 22356; 32.09; 25.69; -9.62; -0.29; 0.58; 9.95; 0.09; 0.37; 990.00; 1017.00; 499.00; 512.00; 509.00; 510.00; 508.00; 0.00
6; 22456; 32.09; 25.69; -9.62; -0.27; 0.63; 9.89; 0.07; 0.39; 997.00; 1016.00; 498.00; 513.00; 508.00; 509.00; 509.00; 0.00
7; 22556; 32.09; 25.69; -9.64; -0.28; 0.64; 9.96; 0.13; 0.33; 992.00; 1016.00; 499.00; 510.00; 508.00; 510.00; 514.00; 0.00
8; 22656; 32.08; 25.69; -9.67; -0.32; 0.51; 10.00; 0.09; 0.38; 992.00; 1016.00; 498.00; 511.00; 510.00; 508.00; 511.00; 0.00
9; 22756; 32.09; 25.69; -9.65; -0.26; 0.55; 9.93; 0.13; 0.34; 992.00; 1016.00; 497.00; 510.00; 510.00; 509.00; 511.00; 0.00
10; 22856; 32.09; 25.69; -9.67; -0.28; 0.53; 9.98; 0.20; 0.24; 991.00; 1016.00; 498.00; 511.00; 509.00; 512.00; 511.00; 0.00
11; 22956; 32.09; 25.69; -9.63; -0.25; 0.54; 9.92; 0.10; 0.29; 993.00; 1020.00; 497.00; 512.00; 509.00; 508.00; 511.00; 0.00
12; 23056; 32.09; 25.70; -9.63; -0.23; 0.50; 9.95; 0.12; 0.34; 993.00; 1017.00; 497.00; 511.00; 510.00; 511.00; 511.00; 0.00
13; 23156; 32.08; 25.69; -9.71; -0.30; 0.41; 9.93; 0.03; 0.34; 991.00; 1016.00; 497.00; 510.00; 508.00; 512.00; 510.00; 0.00
14; 23256; 32.09; 25.69; -9.67; -0.29; 0.57; 9.97; 0.14; 0.28; 992.00; 1017.00; 498.00; 510.00; 511.00; 510.00; 511.00; 0.00
15; 23356; 32.09; 25.69; -9.60; -0.21; 0.51; 9.91; 0.11; 0.38; 994.00; 1017.00; 499.00; 510.00; 509.00; 508.00; 509.00; 0.00
